"","artist","avg_views","avg_dance","avg_energy","avg_tempo","avg_key","avg_loudness","avg_speech","avg_acoust","avg_instru","avg_live","avg_valence"
"37","Post Malone",639442020.9,0.6693,0.635,122.9952,5.3,-5.205,0.06945,0.22132,0.000251188,0.12998,0.4455
"38","One Direction",633760154.9,0.6463,0.6832,117.4854,4.3,-5.5634,0.04416,0.194683,0,0.09807,0.4515
"39","Nicky Jam",632203084.4,0.703,0.7545,135.2632,7,-5.9671,0.1192,0.27221,0.000106,0.11686,0.7605
"40","Lady Gaga",631868169.1,0.6611,0.6742,123.161,4.5,-5.203,0.04513,0.1390007,0.000011612,0.24912,0.4988
"41","Guns N' Roses",630298588.5,0.3818,0.7735,124.9497,9,-7.6572,0.06365,0.095298,0.1332927,0.1793,0.3485
"42","Jennifer Lopez",622982752.6,0.7208,0.7456,109.5156,6,-5.8528,0.10891,0.133411,0.000188933,0.21589,0.6291
"43","Pitbull",610600349.1,0.7012,0.8405,127.1069,6.5,-4.7705,0.11978,0.053613,0.00158913,0.26766,0.6713
"44","KAROL G",602381329.4,0.7611,0.7211,109.4623,5.6,-4.1587,0.17272,0.32471,0.00095556,0.15408,0.594
"45","Demi Lovato",593187445.2,0.6521,0.7165,123.5966,5.4,-5.1935,0.08011,0.055664,0.00009935,0.19202,0.5219
"46","Adele",592335724,0.4834,0.5074,108.8839,5.7,-6.3761,0.03449,0.455608,0.000038468,0.09603,0.28252
"47","Clean Bandit",591048136.9,0.7377,0.6609,116.6853,5.9,-5.6699,0.06371,0.24181,0.00001591,0.19116,0.5757
"48","Becky G",584547543.7,0.777,0.6824,113.6716,5,-5.5101,0.07946,0.25485,0.000322668,0.12781,0.6758
"49","Ellie Goulding",570797583.2,0.5567,0.699,117.7906,4.3,-5.9712,0.04362,0.24419,0.030006888,0.1611,0.4596
"50","Linkin Park",568506989,0.5626,0.8977,117.7949,5.5,-4.5191,0.07259,0.03761,0.000000616,0.35595,0.4954
"51","Mark Ronson",567663301.2,0.6403,0.6642,113.0969,4.4,-6.2343,0.05652,0.12016,0.00040565,0.20529,0.5305
"52","BTS",560786700.2,0.7061,0.7573,115.9051,4.6,-4.663,0.0889,0.098337,0.00014332,0.21923,0.6745
"53","The Chainsmokers",544222388.9,0.6062,0.6899,114.189,4.7,-6.3368,0.05081,0.11309,0.000886606,0.17001,0.4413
"54","Khalid",539824627.5,0.6724,0.5937,112.4157,2.8,-7.3173,0.12387,0.29101,0.034897356,0.11965,0.3725
"55","Maluma",537679495.6,0.7991,0.7437,123.774,7.3,-4.2874,0.15171,0.21641,0.00481494,0.15749,0.6286
